Year,Country,Winner,Runner-up,Country.1,Venue,Attendance,WinnerScore,ViceScore
1960,Uruguay,Peñarol,Olimpia,Paraguay,"Estadio Centenario, Montevideo",44690.0,1,0
1960,Uruguay,Peñarol,Olimpia,Paraguay,"Estadio de Puerto Sajonia, Asunción",35000.0,1,1
1961,Uruguay,Peñarol,Palmeiras,Brazil,"Estadio Centenario, Montevideo",64376.0,1,0
1961,Uruguay,Peñarol,Palmeiras,Brazil,"Estádio do Pacaembu, São Paulo",50000.0,1,1
1962,Brazil,Santos,Peñarol,Uruguay,"Estadio Centenario, Montevideo",48105.0,2,1
1962,Brazil,Santos,Peñarol,Uruguay,"Vila Belmiro, Santos",18000.0,2,3
1962,Brazil,Santos,Peñarol,Uruguay,"Estadio Monumental, Buenos Aires",60000.0,3,0
1963,Brazil,Santos,Boca Juniors,Argentina,"Maracanã, Rio de Janeiro",100000.0,3,2
1963,Brazil,Santos,Boca Juniors,Argentina,"Estadio Boca Juniors, Buenos Aires",50000.0,2,1
1964,Argentina,Independiente,Nacional,Uruguay,"Estadio Centenario, Montevideo",60000.0,0,0
1964,Argentina,Independiente,Nacional,Uruguay,"La Doble Visera, Avellaneda",80000.0,1,0
1965,Argentina,Independiente,Peñarol,Uruguay,"La Doble Visera, Avellaneda",45000.0,1,0
1965,Argentina,Independiente,Peñarol,Uruguay,"Estadio Centenario, Montevideo",45000.0,1,3
1965,Argentina,Independiente,Peñarol,Uruguay,"Estadio Nacional, Santiago",40000.0,4,1
1966,Uruguay,Peñarol,River Plate,Argentina,"Estadio Centenario, Montevideo",46041.0,2,0
1966,Uruguay,Peñarol,River Plate,Argentina,"Estadio Monumental, Buenos Aires",100000.0,2,3
1966,Uruguay,Peñarol,River Plate,Argentina,"Estadio Nacional, Santiago",40240.0,4,2
1967,Argentina,Racing,Nacional,Uruguay,"Estadio Juan Domingo Perón, Avellaneda",55000.0,0,0
1967,Argentina,Racing,Nacional,Uruguay,"Estadio Centenario, Montevideo",60000.0,0,0
1967,Argentina,Racing,Nacional,Uruguay,"Estadio Nacional, Santiago",,2,1
1968,Argentina,Estudiantes,Palmeiras,Brazil,"Estadio Jorge Luis Hirschi, La Plata",35000.0,2,1
1968,Argentina,Estudiantes,Palmeiras,Brazil,"Estádio do Pacaembu, São Paulo",40000.0,1,3
1968,Argentina,Estudiantes,Palmeiras,Brazil,"Estadio Centenario, Montevideo",55000.0,2,0
1969,Argentina,Estudiantes,Nacional,Uruguay,"Estadio Centenario, Montevideo",65000.0,1,0
1969,Argentina,Estudiantes,Nacional,Uruguay,"Estadio Jorge Luis Hirschi, La Plata",55000.0,2,0
1970,Argentina,Estudiantes,Peñarol,Uruguay,"Estadio Jorge Luis Hirschi, La Plata",40000.0,1,0
1970,Argentina,Estudiantes,Peñarol,Uruguay,"Estadio Centenario, Montevideo",60000.0,0,0
1971,Uruguay,Nacional,Estudiantes,Argentina,"Estadio Jorge Luis Hirschi, La Plata",30000.0,0,1
1971,Uruguay,Nacional,Estudiantes,Argentina,"Estadio Centenario, Montevideo",70000.0,1,0
1971,Uruguay,Nacional,Estudiantes,Argentina,"Estadio Nacional, Lima",,2,0
1972,Argentina,Independiente,Universitario,Peru,"Estadio Nacional, Lima",45000.0,0,0
1972,Argentina,Independiente,Universitario,Peru,"La Doble Visera, Avellaneda",55000.0,2,1
1973,Argentina,Independiente,Colo-Colo,Chile,"La Doble Visera, Avellaneda",40000.0,1,1
1973,Argentina,Independiente,Colo-Colo,Chile,"Estadio Nacional, Santiago",80000.0,0,0
1973,Argentina,Independiente,Colo-Colo,Chile,"Estadio Centenario, Montevideo",,2,1
1974,Argentina,Independiente,São Paulo,Brazil,"Estádio do Pacaembu, São Paulo",50000.0,1,2
1974,Argentina,Independiente,São Paulo,Brazil,"La Doble Visera, Avellaneda",55000.0,2,0
1974,Argentina,Independiente,São Paulo,Brazil,"Estadio Nacional, Santiago",60000.0,1,0
1975,Argentina,Independiente,Unión Española,Chile,"Estadio Nacional, Santiago",43200.0,0,1
1975,Argentina,Independiente,Unión Española,Chile,"La Doble Visera, Avellaneda",60000.0,3,1
1975,Argentina,Independiente,Unión Española,Chile,"Estadio Defensores del Chaco, Asunción",,2,0
1976,Brazil,Cruzeiro,River Plate,Argentina,"Mineirão, Belo Horizonte",58720.0,4,1
1976,Brazil,Cruzeiro,River Plate,Argentina,"Estadio Monumental, Buenos Aires",90000.0,1,2
1976,Brazil,Cruzeiro,River Plate,Argentina,"Estadio Nacional, Santiago",40000.0,3,2
1977,Argentina,Boca Juniors,Cruzeiro,Brazil,"Estadio Boca Juniors, Buenos Aires",60000.0,1,0
1977,Argentina,Boca Juniors,Cruzeiro,Brazil,"Mineirão, Belo Horizonte",80000.0,0,1
1977,Argentina,Boca Juniors,Cruzeiro,Brazil,"Estadio Centenario, Montevideo",60000.0,0,0
1978,Argentina,Boca Juniors,Deportivo Cali,Colombia,"Estadio Olímpico Pascual Guerrero, Cali",50000.0,0,0
1978,Argentina,Boca Juniors,Deportivo Cali,Colombia,"Estadio Boca Juniors, Buenos Aires",80000.0,4,0
1979,Paraguay,Olimpia,Boca Juniors,Argentina,"Estadio Defensores del Chaco, Asunción",50000.0,2,0
1979,Paraguay,Olimpia,Boca Juniors,Argentina,"Estadio Boca Juniors, Buenos Aires",65000.0,0,0
1980,Uruguay,Nacional,Internacional,Brazil,"Estádio Beira-Rio, Porto Alegre",70000.0,0,0
1980,Uruguay,Nacional,Internacional,Brazil,"Estadio Centenario, Montevideo",65000.0,1,0
1981,Brazil,Flamengo,Cobreloa,Chile,"Maracanã, Rio de Janeiro",93985.0,2,1
1981,Brazil,Flamengo,Cobreloa,Chile,"Estadio Nacional, Santiago",61721.0,0,1
1981,Brazil,Flamengo,Cobreloa,Chile,"Estadio Centenario, Montevideo",30200.0,2,0
1982,Uruguay,Peñarol,Cobreloa,Chile,"Estadio Centenario, Montevideo",55248.0,0,0
1982,Uruguay,Peñarol,Cobreloa,Chile,"Estadio Nacional, Santiago",70400.0,1,0
1983,Brazil,Grêmio,Peñarol,Uruguay,"Estadio Centenario, Montevideo",70000.0,1,1
1983,Brazil,Grêmio,Peñarol,Uruguay,"Estádio Olímpico Monumental, Porto Alegre",80000.0,2,1
1984,Argentina,Independiente,Grêmio,Brazil,"Estádio Olímpico Monumental, Porto Alegre",,1,0
1984,Argentina,Independiente,Grêmio,Brazil,"La Doble Visera, Avellaneda",,0,0
1985,Argentina,Argentinos Juniors,América de Cali,Colombia,"Estadio Monumental, Buenos Aires",,1,0
1985,Argentina,Argentinos Juniors,América de Cali,Colombia,"Estadio Olímpico Pascual Guerrero, Cali",35350.0,0,1
1985,Argentina,Argentinos Juniors,América de Cali,Colombia,"Estadio Defensores del Chaco, Asunción",,1,1
